,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
960,captain-tsubasa-new-kick-off,0,5/20/2010,0,0,0,0,1,,0,2020-11-07T21:04:34,,0,,0,0,0,0,1,0
961,pac-man-party-3d,0,11/8/2011,0,0,0,0,1,,165,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
962,outdoors-unleashed-alaska-3d,0,1/5/2012,0,0,0,0,1,,39,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
963,marus-mission,0,2/9/2012,0,0,0,0,1,,204,2019-01-09T12:41:06,"Monsters, NES",0,,0,1,0,0,0,0
964,sudoku-by-nikoli,0,5/10/2012,0,0,0,0,1,,111,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
965,masyu-by-nikoli,0,9/28/2011,0,0,0,0,1,,92,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
966,imagine-fashion-life,0,10/23/2012,0,0,0,0,1,,75,2019-01-09T12:41:06,"Music, friends",0,,0,1,0,0,0,0
967,swords-soldiers-3d,0,5/16/2013,0,0,0,0,1,,88,2019-01-09T12:41:06,"achievements, Swords",0,,0,1,0,0,0,0
968,10-in-1-arcade-collection,0,8/15/2013,0,0,0,0,1,,119,2019-01-09T12:41:06,"Music, Minigames",0,,0,1,0,0,0,0
969,paws-claws-pampered-pets-resort-3d-2,0,9/26/2013,0,0,0,0,1,,95,2019-01-09T12:41:06,"Relaxing, love",0,,0,1,0,0,0,0
970,life-with-horses-3d,0,12/12/2013,0,0,0,0,1,,174,2019-01-09T12:41:06,"Cute, Training",0,,0,1,0,0,0,0
971,sky-kid,0,2/20/2014,0,0,0,0,1,,63,2019-01-09T12:41:06,"NES, battle",0,,0,1,0,0,0,0
972,bit-boy-arcade,0,4/17/2014,0,0,0,0,1,,186,2019-09-12T06:37:34,"exclusive, true exclusive",0,,0,1,0,0,0,0
973,centipede-infestation,0,10/25/2011,0,0,0,0,1,,416,2019-01-09T12:41:06,"battle, hero",0,,0,1,0,0,0,0
974,dragon-lapis,0,5/31/2018,0,0,0,0,1,,423,2020-11-06T01:49:47,"2D, In-App Purchases",0,"Adventure, RPG",0,1,0,0,0,0
975,gourmet-dream,0,12/22/2016,0,0,0,0,1,,112,2019-01-09T12:41:06,"Management, train",0,,0,1,0,0,0,0
976,kutar-powder-factory,0,11/10/2016,0,0,0,0,1,,88,2019-01-09T12:41:06,"Dog, character",0,,0,1,0,0,0,0
977,kutar-magic-ball,0,11/10/2016,0,0,0,0,1,,82,2019-01-09T12:41:06,"Magic, Dog",0,,0,1,0,0,0,0
978,kutar-end-credits,0,11/10/2016,0,0,0,0,1,,56,2019-01-09T12:41:06,"Dog, simple",0,,0,1,0,0,0,0
979,glory-of-generals-the-pacific,0,5/28/2015,0,0,0,0,1,,132,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
980,3d-fantasy-zone-ii,0,4/16/2015,0,0,0,0,1,,123,2019-01-09T12:41:06,"Fantasy, Surreal",0,,0,1,0,0,0,0
981,color-zen-kids,0,6/19/2014,0,0,0,0,1,,88,2019-01-25T03:33:54,"Education, Training",0,,0,0,0,1,0,0
982,gummy-bears-magical-medallion,0,5/2/2013,0,0,0,0,1,,169,2019-01-09T12:41:06,"achievements, Traps",0,,0,1,0,0,0,0
983,dragon-crystal,0,3/15/2012,0,0,0,0,1,,218,2019-01-09T12:41:06,,0,,0,1,0,0,0,0
984,dualpensports,0,6/21/2011,0,0,1,0,1,,224,2019-09-12T06:37:36,"exclusive, true exclusive",1,,0,1,0,0,0,0
