,slug,playtime,released,rating,rating_top,ratings_count,reviews_text_count,added,metacritic,suggestions_count,updated,tags,reviews_count,genres,yet,owned,beaten,toplay,dropped,playing
0,terraria,12,5/16/2011,4,4,1384,6,7304,81,367,2020-12-07T19:51:06,"Singleplayer, Steam Achievements",1395,"Platformer, Indie",237,5518,603,94,729,123
1,lego-lord-of-the-rings,3,9/28/2012,3.4,4,409,1,3640,80,586,2019-10-23T14:56:48,"Singleplayer, Для одного игрока",410,"Casual, Platformer",265,3000,205,29,115,26
2,minecraft,26,5/10/2009,4.41,5,1339,8,3640,83,431,2020-09-08T16:50:31,"Multiplayer, Sandbox",1359,"Action, Arcade",38,2049,689,48,434,382
3,the-binding-of-isaac-rebirth,35,11/4/2014,4.31,5,726,5,3297,86,248,2019-12-29T20:04:49,"Singleplayer, Для одного игрока",732,"Action, RPG",74,2464,380,63,225,91
4,lego-the-hobbit,2,4/8/2014,3.4,4,289,0,3194,70,517,2019-10-23T14:56:45,"Singleplayer, Для одного игрока",289,"Family, Adventure",285,2665,132,24,75,13
5,vvvvvv,1,1/9/2010,3.73,4,372,1,2832,81,218,2019-10-21T19:00:35,"Singleplayer, Для одного игрока",374,"Adventure, Action",107,2291,259,27,140,8
6,sonic-generations,2,6/23/2011,3.89,4,353,1,2705,77,464,2020-08-03T02:19:31,"Singleplayer, Для одного игрока",356,"Family, Platformer",129,2174,241,32,108,21
7,resident-evil-revelations-biohazard-revelations,8,2/7/2012,3.72,4,404,0,2630,77,638,2020-09-08T11:03:44,"Singleplayer, Для одного игрока",405,"Adventure, Action",203,1945,325,67,73,17
8,steamworld-dig,4,8/8/2013,3.77,4,437,1,2598,76,484,2019-09-17T03:22:28,"Singleplayer, Для одного игрока",439,"Adventure, Action",135,1996,301,31,116,19
9,scribblenauts-unlimited,4,11/13/2012,3.61,4,315,0,2532,75,332,2019-09-17T03:23:26,"Singleplayer, Для одного игрока",317,"Casual, Strategy",107,2075,149,18,172,11
10,rayman-origins,2,11/15/2011,4.12,4,525,4,2487,86,540,2020-08-03T02:19:58,"Singleplayer, Для одного игрока",529,"Family, Platformer",143,1696,401,44,174,29
11,prince-of-persia,1,6/13/2007,3.74,4,559,2,2399,82,582,2020-09-07T02:23:39,"Singleplayer, Для одного игрока",561,"Platformer, Adventure",79,1546,548,43,174,9
12,sonic-all-stars-racing-transformed,5,11/16/2012,3.88,4,276,6,2130,79,474,2020-06-29T15:18:25,"Singleplayer, Для одного игрока",285,"Racing, Family",82,1738,152,14,126,18
13,cave-story,2,3/22/2010,4.03,4,223,1,1913,83,441,2019-09-17T03:31:32,"Singleplayer, Для одного игрока",225,"Indie, Platformer",109,1534,157,40,63,10
14,punch-club,5,1/7/2016,3.64,4,260,1,1807,73,364,2020-08-03T02:17:32,"Singleplayer, Для одного игрока",261,"RPG, Fighting",96,1462,120,17,103,9
15,fifa-15,17,9/20/2014,3.29,4,334,1,1728,82,332,2019-09-17T03:37:49,"Multiplayer, Story",335,,19,1339,190,3,170,7
16,lego-batman-2,5,6/19/2012,3.59,4,218,0,1709,75,428,2020-08-28T02:28:45,"Singleplayer, Для одного игрока",218,"Family, Adventure",135,1303,186,16,62,7
17,the-sims-3,10,6/2/2009,3.96,4,464,2,1612,86,538,2019-11-24T07:13:40,"Singleplayer, Для одного игрока",466,"Casual, Simulation",35,954,353,11,233,26
18,fifa-14,35,9/23/2013,3.27,4,289,0,1588,86,475,2019-09-17T03:43:28,"online, 3D",289,,16,1241,170,3,156,2
19,steamworld-heist,5,12/10/2015,3.95,4,207,0,1535,81,577,2019-12-16T14:30:24,"Singleplayer, Для одного игрока",207,"Adventure, Action",107,1204,101,34,71,18
20,nightsky,1,1/6/2011,2.87,3,78,0,1463,78,222,2019-10-22T14:28:32,"Singleplayer, Для одного игрока",78,"Action, Puzzle",83,1310,34,4,32,0
21,splinter-cell-chaos-theory,2,3/21/2005,4.34,5,298,0,1349,92,477,2020-08-07T02:29:53,"Singleplayer, Для одного игрока",298,"Adventure, Action",63,842,334,43,60,7
22,retro-city-rampage-dx,4,10/8/2012,3.4,4,110,0,1331,,335,2019-10-22T14:27:56,"Singleplayer, Для одного игрока",111,"Racing, Adventure",68,1154,29,16,54,10
23,toki-tori,1,6/2/2008,2.77,3,93,0,1292,80,348,2019-09-17T03:51:51,"Singleplayer, Для одного игрока",93,"Casual, Indie",40,1185,18,7,41,1
24,shovel-knight,6,6/26/2014,4.27,5,348,4,1282,85,400,2019-09-17T04:08:48,"Singleplayer, Для одного игрока",355,"Indie, Platformer",64,755,247,91,98,27
25,mega-man-legacy-collection-2,3,8/24/2015,3.67,4,128,1,1245,85,304,2019-09-17T04:16:30,"Singleplayer, Для одного игрока",129,"Arcade, Action",101,1011,48,17,50,18
26,lego-batman-3-beyond-gotham,5,11/10/2014,3.62,4,124,1,1230,74,548,2020-11-30T02:06:54,"Singleplayer, Для одного игрока",125,"Family, Adventure",146,923,94,11,50,6
27,edge,1,12/31/2008,3.59,4,106,2,1205,74,153,2020-09-05T16:39:29,"Singleplayer, Для одного игрока",108,"Adventure, Action",38,1065,55,2,44,1
28,lego-harry-potter-years-5-7,4,11/11/2011,3.64,4,158,0,1162,80,661,2020-09-15T18:59:11,"Singleplayer, Для одного игрока",158,"Family, Platformer",69,882,158,18,25,10
29,dragon-quest-xi,13,7/29/2017,4.33,5,262,2,1143,92,461,2020-12-18T20:40:58,"Singleplayer, Для одного игрока",264,,93,528,140,209,62,111
30,lego-movie-videogame,6,2/6/2014,3.56,4,139,0,1113,72,386,2019-10-22T13:59:47,"Singleplayer, Для одного игрока",139,"Family, Adventure",45,918,101,10,30,9
31,bionic-commando,1,5/18/2009,3.29,3,120,0,1093,69,637,2019-09-17T04:09:45,"Singleplayer, Для одного игрока",121,"Shooter, Adventure",45,907,72,10,58,1
32,titan-attacks,3,2/3/2012,2.73,3,113,0,1081,,325,2019-09-17T04:04:56,"Singleplayer, Для одного игрока",113,"Casual, Indie",30,975,35,1,39,1
33,sonic-the-hedgehog,4,6/23/1991,4.12,4,321,3,1053,,284,2019-10-22T14:09:19,"Singleplayer, Great Soundtrack",325,"Arcade, Adventure",20,605,270,14,131,13
34,metal-gear-solid-3-snake-eater,0,11/17/2004,4.4,5,586,4,1014,84,343,2019-09-17T04:54:18,,591,,81,258,492,121,47,15
35,olliolli,1,1/21/2014,3.66,4,115,1,1014,78,337,2019-10-22T13:52:44,"Singleplayer, Для одного игрока",116,"Action, Arcade",47,848,41,5,70,3
36,shovel-knight-treasure-trove,5,6/25/2014,4.33,5,247,5,999,91,400,2019-09-17T04:15:40,"Singleplayer, Co-op",252,"Platformer, Adventure",45,624,164,69,61,36
37,mighty-no-9,3,6/21/2016,2.34,3,157,2,997,52,460,2020-09-19T14:34:35,"Singleplayer, Для одного игрока",159,"Adventure, Action",64,798,24,6,103,2
38,shantae-and-the-pirates-curse,7,2/5/2014,3.94,4,112,0,963,,423,2019-09-17T04:20:24,"Singleplayer, Для одного игрока",112,"Adventure, Action",75,755,75,24,29,5
39,lego-star-wars-iii,2,3/21/2011,3.71,4,154,0,962,76,509,2020-08-03T02:29:45,"Singleplayer, Экшен",155,"Arcade, Family",35,737,129,14,42,5
40,sonic-the-hedgehog-2,5,11/21/1992,4.27,4,269,4,960,,566,2020-08-03T02:27:04,"Singleplayer, Multiplayer",275,"Platformer, Arcade",29,571,247,11,91,11
41,lego-star-wars-tfa,5,6/27/2016,3.67,4,187,4,954,75,403,2020-09-19T03:18:59,"Singleplayer, Для одного игрока",191,"Adventure, Action",45,700,123,17,54,15
42,super-mario-world,6,11/21/1990,4.41,5,520,5,912,,219,2019-09-22T13:06:33,"Singleplayer, Multiplayer",525,"Platformer, Arcade",32,231,458,44,116,31
43,super-mario-bros,30,9/13/1985,4.27,4,498,7,859,,194,2020-01-21T02:53:56,"Singleplayer, Multiplayer",505,"Platformer, Adventure",12,170,511,14,142,10
44,urban-trial-freestyle,3,2/12/2013,2.59,3,76,0,852,58,593,2019-09-17T04:20:07,"Singleplayer, Для одного игрока",76,"Racing, Action",16,788,18,0,30,0
45,steamworld-dig-2,7,9/21/2017,4.18,4,247,1,843,88,417,2020-05-28T07:18:01,"Singleplayer, Для одного игрока",249,"Indie, Platformer",51,476,222,51,27,16
46,lego-jurassic-world,7,6/11/2015,3.75,4,128,0,841,72,554,2019-11-20T11:41:03,"Singleplayer, Для одного игрока",128,"Family, Adventure",36,638,114,10,35,8
47,xeodrifter,1,12/11/2014,3.09,3,111,1,831,,287,2019-09-17T04:25:08,"Singleplayer, Для одного игрока",112,"Platformer, Indie",44,713,36,2,34,2
48,the-legend-of-zelda-a-link-to-the-past,28,11/21/1991,4.37,5,398,3,827,95,268,2019-09-17T05:33:51,"Dark, hero",403,"Adventure, Action",80,182,332,78,114,41
49,lego-marvels-avengers,5,1/26/2016,3.72,4,126,1,802,67,494,2019-09-17T04:56:13,"Singleplayer, Для одного игрока",127,"Adventure, Action",39,608,92,22,28,13
50,need-for-speed-the-run,6,11/15/2011,3.67,4,238,1,759,66,467,2020-05-14T13:28:33,,239,"Racing, Adventure",17,416,243,19,58,6
51,castlevania-los-mirror-of-fate-hd,2,3/5/2013,3.76,4,87,0,731,72,903,2020-11-06T01:54:26,"Singleplayer, Для одного игрока",87,"Platformer, Adventure",55,575,66,16,17,2
52,streets-of-rage-2,6,12/20/1992,4.07,4,173,2,708,,446,2019-09-17T04:46:46,"Singleplayer, Multiplayer",175,"Casual, Arcade",19,502,128,14,42,3
53,super-mario-bros-3,25,10/23/1988,4.38,5,396,5,706,,161,2019-10-05T21:33:24,"Singleplayer, Multiplayer",402,"Platformer, Adventure",29,167,324,28,141,17
54,zero-escape-zero-time-dilemma,9,6/28/2016,4.08,4,127,2,700,78,376,2019-09-17T05:09:08,"Singleplayer, Для одного игрока",129,,83,440,134,25,9,9
55,pokemon-red,33,2/27/1996,4.38,5,342,2,638,,270,2019-09-23T18:06:03,"Singleplayer, Multiplayer",344,"Adventure, Action",13,123,434,11,45,12
56,ace-attorney-phoenix-wright-trilogy-hd,4,5/30/2013,4.52,5,131,1,590,80,179,2020-03-17T09:55:57,"Singleplayer, Для одного игрока",132,"Adventure, Simulation",32,329,80,59,29,61
57,the-legend-of-zelda-a-link-between-worlds,26,11/22/2013,4.37,5,267,0,586,91,369,2019-09-17T06:06:01,"exclusive, true exclusive",270,,56,117,303,54,37,19
58,pokemon-gold,900,11/21/1999,4.36,5,298,1,569,,154,2019-09-17T08:01:32,"Singleplayer, Multiplayer",299,,17,127,357,17,45,6
59,pokemon-y,84,10/12/2013,3.93,4,270,2,558,88,464,2019-11-10T10:48:25,"role-playing, exclusive",272,"Adventure, RPG",21,89,361,20,52,15
60,the-legend-of-zelda-ocarina-of-time-3d,13,6/19/2011,4.48,5,247,2,547,94,386,2020-04-24T20:44:35,"role-playing, exclusive",252,"Adventure, RPG",51,106,269,35,62,24
61,citizens-of-earth,6,1/20/2015,2.77,3,26,0,545,66,304,2019-09-17T05:13:43,"Singleplayer, Для одного игрока",26,,36,484,3,3,18,1
62,super-metroid,6,3/19/1994,4.4,5,264,3,523,,384,2019-09-17T06:46:08,,269,"Platformer, Shooter",51,121,216,59,55,21
63,the-legend-of-zelda-the-minish-cap,24,11/4/2004,4.39,5,221,1,506,,374,2019-09-17T07:29:02,,223,"Adventure, Action",42,98,250,61,44,11
64,pokemon-sun,0,11/18/2016,3.81,4,229,2,499,87,164,2019-11-10T10:49:32,"role-playing, exclusive",231,"Adventure, RPG",28,78,289,17,63,24
65,sonic-lost-world,1,10/18/2013,2.98,4,49,0,471,,299,2019-09-17T06:23:24,"Singleplayer, Для одного игрока",49,"Arcade, Adventure",41,363,32,7,27,1
66,f1-2011,2,9/19/2011,3.51,4,35,0,468,83,431,2020-10-13T18:39:50,"Singleplayer, Multiplayer",35,"Racing, Simulation",10,407,28,1,22,0
67,pac-man,4,5/22/1980,4.11,4,174,1,465,62,184,2020-01-19T08:12:34,"Singleplayer, two-player alternating",175,"Casual, Family",6,221,115,2,114,7
68,the-legend-of-zelda,6,2/21/1986,4.13,4,207,2,459,,214,2019-09-17T07:21:53,"Dark, Epic",209,"Adventure, Action",38,98,186,26,96,15
69,donkey-kong-country,6,11/21/1994,4.39,5,245,0,453,,380,2019-09-17T07:41:16,"Singleplayer, Multiplayer",247,,23,107,215,34,65,9
70,kami,1,10/10/2013,3.39,4,31,0,440,,126,2020-11-01T07:35:14,"Singleplayer, Для одного игрока",31,"Casual, Indie",17,383,16,1,22,1
71,pokemon-omega-ruby,40,11/21/2014,4.19,4,207,1,436,83,304,2019-09-17T07:57:32,,208,,18,71,278,11,38,20
72,plantera,5,1/28/2016,2.37,1,35,0,434,,134,2019-10-22T14:28:54,"Singleplayer, Для одного игрока",35,"Casual, Indie",9,388,22,0,11,4
73,phoenix-wright-ace-attorney-2001,13,10/12/2001,4.4,5,247,1,427,80,271,2020-09-03T23:42:03,"Visual Novel, Single player only",248,,27,86,253,33,21,7
74,woah-dave,3,10/30/2014,2.22,1,51,0,422,,137,2019-10-22T14:30:42,"Singleplayer, Экшен",51,"Indie, Arcade",20,374,4,1,22,1
75,super-mario-3d-land,17,11/3/2011,4.2,4,202,3,414,90,235,2020-06-18T22:48:46,"exclusive, true exclusive",206,"Platformer, Adventure",23,59,267,14,31,20
76,severed,0,4/26/2016,3.87,4,88,1,400,,226,2019-09-17T06:05:58,,89,"Adventure, Action",15,276,50,19,30,10
77,cut-the-rope,1,10/4/2010,3.62,4,117,0,397,93,133,2020-06-19T01:36:00,"Singleplayer, Инди",117,"Casual, Indie",4,269,48,0,76,0
78,animal-crossing-new-leaf,37,11/8/2012,4.37,5,213,1,397,88,255,2020-09-15T06:42:35,"exclusive, true exclusive",214,"Casual, Family",12,86,156,22,90,31
79,the-legend-of-zelda-majoras-mask-3d,29,2/13/2015,4.37,5,155,1,391,,522,2019-09-17T07:17:37,"exclusive, true exclusive",156,,55,70,148,58,40,20
80,alter-world,4,5/29/2015,1.55,1,11,0,385,,311,2019-09-17T06:15:15,"Singleplayer, Steam Achievements",11,,12,370,1,0,2,0
81,scribblenauts-unmasked-a-dc-comics-adventure,6,9/24/2013,3.45,4,42,0,385,68,381,2019-09-17T06:18:32,"Singleplayer, Для одного игрока",42,"Casual, Strategy",25,308,23,2,22,5
82,quest-of-dungeons,3,2/28/2014,3.07,4,14,0,377,,215,2019-10-22T14:28:17,"Singleplayer, Для одного игрока",14,"Indie, Adventure",19,339,7,5,7,0
83,lego-pirates-of-the-caribbean,5,5/10/2011,3.93,4,84,0,373,,642,2019-09-17T07:17:46,"Singleplayer, Для одного игрока",84,"Arcade, Family",18,224,103,7,18,3
84,garfield-kart,1,11/1/2013,2.95,1,22,0,368,,218,2019-10-22T14:29:39,"Singleplayer, Для одного игрока",22,"Racing, Action",20,323,6,2,17,0
85,super-mario-bros-2,10,10/9/1988,3.87,4,177,1,363,,167,2019-09-17T08:46:16,"puzzles, friends",178,"Platformer, Adventure",18,80,147,18,92,8
86,fire-emblem-awakening,0,4/19/2012,4.37,5,182,0,348,92,399,2020-06-18T21:24:18,"exclusive, true exclusive",182,"Strategy, RPG",27,68,187,24,23,19
87,prince-of-persia-nes,0,10/3/1989,4.1,4,185,2,346,,293,2019-09-17T08:23:13,"Singleplayer, Cinematic",187,"Platformer, Adventure",10,65,132,5,130,4
88,super-mario-kart,6,8/27/1993,4.05,4,160,3,337,,314,2019-09-23T18:17:49,"Classes, console",163,,10,74,147,16,87,3
89,battle-city,20,9/9/1985,4.38,5,224,3,336,,189,2020-02-08T05:00:24,"Singleplayer, Multiplayer",228,,4,105,147,2,75,3
90,earthbound,33,8/27/1994,4.34,5,135,3,332,,249,2020-10-06T00:36:11,,140,"Strategy, Indie",55,64,93,55,43,22
91,1001-spikes,1,6/3/2014,3.67,4,18,0,328,80,378,2019-09-17T06:40:54,"Singleplayer, Для одного игрока",18,"Indie, Adventure",17,286,6,5,14,0
92,bloo-kid-2,1,3/6/2014,2.11,3,9,0,311,,276,2019-11-20T11:41:03,"Singleplayer, Для одного игрока",9,"Indie, Arcade",10,297,0,2,2,0
93,the-legend-of-zelda-links-awakening-dx,18,6/6/1993,4.37,5,124,0,308,,280,2020-02-22T15:17:06,,124,"Adventure, Action",29,66,149,30,26,8
94,kung-fu-panda-showdown-of-legendary-legends-2,0,12/15/2015,2.26,3,43,0,308,,361,2019-09-17T05:56:13,"Epic, monkey",43,,14,265,4,0,24,1
95,rayman-2-the-great-escape,1,10/29/1999,4.19,4,105,1,304,68,449,2019-09-17T09:26:29,,106,"Platformer, Adventure",25,101,98,22,53,5
96,double-dragon,5,8/1/1987,3.8,4,95,0,296,,684,2020-12-16T14:59:26,"cooperative, online",95,"Arcade, Action",6,169,75,7,38,1
97,captain-toad-treasure-tracker,1,11/13/2014,4.15,4,119,2,292,81,424,2019-11-19T17:48:28,"exclusive, Puzzle-Platformer",121,,26,45,100,58,31,32
98,angry-video-game-nerd-adventures,3,9/20/2013,3.62,4,33,0,292,77,376,2019-09-17T07:45:01,"Singleplayer, Для одного игрока",34,"Indie, Adventure",13,238,21,4,15,1
99,donkey-kong-country-2-diddys-kong-quest,10,11/20/1995,4.35,5,153,2,289,,420,2019-09-17T09:18:28,"Singleplayer, Multiplayer",156,,18,67,127,31,42,4
100,batman-arkham-origins-blackgate,0,10/25/2013,3.05,3,66,0,284,,205,2020-01-03T13:41:08,"Stealth, Dark",66,,9,217,29,3,24,2
101,pirate-pop-plus,2,10/20/2016,2,1,7,0,283,65,187,2019-09-17T07:14:30,"Singleplayer, Экшен",7,"Casual, Indie",17,261,0,1,4,0
102,mario-kart-7,30,12/4/2011,4.05,4,147,0,282,,400,2019-09-17T08:58:37,"exclusive, true exclusive",148,,6,57,172,6,39,2
103,pokemon-crystal-version,0,12/14/2000,4.36,5,133,0,280,,94,2019-09-17T10:03:30,,133,,14,53,170,13,23,7
104,pokemon-ultra-sun,0,11/17/2017,3.68,4,118,3,266,,199,2019-11-10T10:52:40,,121,"Adventure, RPG",29,29,135,17,36,20
105,luigis-mansion,2,9/14/2001,4.28,4,120,0,264,78,447,2020-12-16T15:38:18,"character, console",120,"Adventure, Action",18,45,125,38,28,10
106,gunman-clive,1,4/3/2012,3.47,4,31,1,259,,259,2020-06-14T00:43:31,"Singleplayer, Для одного игрока",32,"Arcade, Indie",10,211,27,4,6,1
107,super-smash-bros,22,9/13/2014,4.15,4,137,0,253,88,498,2019-09-17T08:46:31,"battle, online",139,,5,49,127,5,59,8
108,zelda-ii-the-adventure-of-link-2,2,1/14/1987,3.35,4,100,1,246,,303,2020-06-20T14:13:40,,101,,23,60,64,19,70,10
109,metroid-fusion,14,11/17/2002,4.4,5,123,0,243,,340,2019-09-17T10:08:34,,124,"Platformer, Adventure",23,52,126,19,15,8
110,castlevania,3,9/26/1986,4.07,4,120,2,242,,347,2019-09-17T10:45:33,,122,"Platformer, Arcade",16,56,114,11,40,5
111,phoenix-wright-ace-attorney-trials-and-tribulati-2,17,1/23/2004,4.33,5,128,0,232,81,259,2020-01-18T16:09:09,"Visual Novel, Single player only",128,,20,40,145,17,3,7
112,new-super-mario-bros-2,4,7/28/2012,3.72,4,116,3,228,78,139,2019-09-17T09:40:29,"exclusive, true exclusive",120,"Platformer, Adventure",9,44,137,13,17,8
113,kung-fu-rabbit,2,3/15/2012,2.24,3,29,0,228,,192,2019-10-22T14:27:56,"Music, combat",29,"Arcade, Action",10,205,7,0,6,0
114,metroid,9,8/6/1986,3.75,4,90,3,225,,306,2019-09-23T18:01:08,"Space, Music",93,"Platformer, Adventure",20,59,73,17,53,3
115,arcade-archives-donkey-kong,10,7/9/1981,3.84,4,114,3,224,,294,2019-09-23T18:15:46,"Multiplayer, Singleplayer",117,"Platformer, Puzzle",4,58,87,5,68,2
116,xenoblade-chronicles,14,6/10/2010,4.35,5,91,2,218,89,420,2019-09-17T09:57:01,"RPG, role-playing",93,"Action, RPG",30,45,71,33,24,15
117,altered-beast-1988,2,11/27/1988,3.36,4,54,1,216,,424,2019-10-22T14:00:42,"Partial Controller Support, Beat 'em up",55,"Arcade, Action",3,145,36,5,26,1
118,mega-man-2,0,12/24/1988,4.29,5,115,1,215,,272,2020-01-16T11:26:18,"Singleplayer, Multiplayer",116,"Platformer, Arcade",10,57,103,11,31,3
119,the-legend-of-zelda-oracle-of-seasons,62,2/27/2001,4.3,4,71,0,210,,346,2019-09-17T10:48:50,"Singleplayer, exclusive",71,"Adventure, Action",33,40,80,27,20,10
120,metroid-samus-returns,0,9/15/2017,4.28,4,72,2,209,88,575,2019-11-19T17:49:49,"exclusive, true exclusive",74,"Platformer, Action",24,26,75,45,23,16
121,tetris-ultimate,2,11/6/2014,3.71,4,41,0,207,,253,2019-10-23T14:56:38,"Singleplayer, Steam Achievements",41,"Casual, Puzzle",5,169,14,0,18,1
122,the-legend-of-zelda-oracle-of-ages,52,2/27/2001,4.33,4,69,0,207,,239,2019-09-17T11:05:23,,69,"Adventure, Action",34,42,70,30,22,9
123,phoenix-wright-ace-attorney-justice-for-all-4,0,10/22/2002,4.4,5,106,0,202,76,210,2020-03-17T10:09:29,"Visual Novel, Story",106,,15,18,149,10,7,3
124,pes-2011,11,10/8/2010,3.41,4,32,0,202,,607,2020-06-03T10:04:25,"online, Soccer",32,,3,159,21,0,18,1
125,super-mario-maker,10,9/11/2015,4.23,4,94,4,200,80,316,2019-09-17T10:42:07,,98,,8,43,71,16,47,15
126,super-mario-land,8,4/21/1989,3.92,4,94,3,195,,181,2019-09-17T11:21:31,"Singleplayer, Side-Scrolling",97,"Platformer, Action",5,39,109,13,26,3
127,donkey-kong-country-returns,10,11/21/2010,4.41,5,97,0,194,85,463,2019-09-17T11:11:45,"cooperative, skill",99,,20,36,87,14,27,10
128,final-fantasy-1987,0,12/17/1987,3.87,4,84,3,187,,269,2019-09-17T11:21:36,,87,,10,44,74,15,40,4
129,donkey-kong-country-3-dixies-double-trouble,3,11/23/1996,4.35,5,88,0,185,,403,2019-09-17T12:14:46,"friends, console",89,,14,35,92,16,24,4
130,streets-of-rage,7,8/2/1991,4.28,4,108,2,185,,367,2019-09-17T12:30:48,"Singleplayer, Great Soundtrack",110,"Casual, Arcade",6,36,101,9,29,4
131,rayman,3,9/1/1995,3.86,4,70,1,173,,322,2019-12-23T05:14:09,"Multiplayer, Controller",72,"Arcade, Adventure",14,35,49,21,48,6
132,dr-mario,0,7/27/1990,3.94,4,84,1,172,,224,2019-09-17T12:26:48,"Singleplayer, Multiplayer",85,,6,47,56,3,55,5
133,excitebike,2,11/30/1984,3.87,4,91,2,171,,234,2019-09-17T12:21:39,"Singleplayer, Multiplayer",93,,7,44,65,4,50,1
134,bravely-default,36,2/7/2014,4.21,4,56,1,171,,371,2019-09-17T11:30:42,"role-playing, exclusive",57,,36,21,51,21,25,17
135,mario-bros-1983,0,1/1/1983,3.67,4,88,1,171,,259,2019-09-17T14:01:26,"Multiplayer, Singleplayer",89,,5,39,63,4,59,1
136,dig-dug,2,6/9/2008,3.54,3,24,0,171,,190,2019-09-17T09:10:47,,24,,2,147,11,0,11,0
137,kirbys-adventure,3,3/23/1993,4.1,4,89,2,170,,286,2019-09-17T12:59:13,,92,"Platformer, Action",12,39,78,9,27,5
138,wwe-all-stars,0,2/8/2011,3.29,4,28,0,169,,330,2019-09-17T09:54:45,,28,"Arcade, Fighting",6,127,16,4,16,0
139,fire-emblem-fates-birthright,0,2/19/2016,3.71,4,76,1,168,86,612,2019-09-17T11:08:05,,77,"Strategy, RPG",20,28,83,13,16,8
140,goosebumps-the-game,2,10/13/2015,3.24,3,21,0,167,,419,2019-09-17T09:23:21,"Singleplayer, Приключение",21,"Casual, Adventure",7,141,13,0,5,1
141,zero-escape-virtues-last-reward,34,2/16/2012,4.36,5,74,2,165,,353,2020-11-18T17:50:15,,76,"Adventure, Puzzle",22,28,89,18,4,4
142,the-sims-3-pets,45,10/18/2011,3.89,4,45,0,164,79,421,2019-10-31T04:48:55,,45,"Strategy, Simulation",7,96,38,2,18,3
143,mega-man-1987,0,12/17/1987,4.01,4,84,3,161,,218,2019-09-17T13:10:11,,87,,5,44,80,11,20,1
144,angry-birds-star-wars,0,11/8/2012,3.47,4,45,0,159,,390,2019-10-22T14:39:24,,45,"Casual, Arcade",2,109,23,1,24,0
145,luigis-mansion-dark-moon,0,3/20/2013,4.03,4,67,2,158,,214,2019-09-17T12:51:01,"exclusive, true exclusive",70,"Adventure, Action",16,32,67,17,18,8
146,transformers-rotds,1,6/24/2014,3.36,4,21,0,158,,706,2020-11-02T11:09:04,"Singleplayer, Steam Achievements",22,"Shooter, Action",7,127,13,3,7,1
147,galaga,1,7/26/2006,3.86,4,22,0,157,,141,2020-12-21T02:42:00,,22,,4,128,11,0,13,1
148,fire-emblem-echoes-shadows-of-valentia,0,5/19/2017,4.35,4,51,0,151,81,437,2019-09-17T11:39:20,"role-playing, exclusive",51,"Strategy, RPG",25,21,54,27,8,16
149,phoenix-wright-ace-attorney-dual-destinies-2,36,7/25/2013,4.02,4,61,0,149,83,342,2020-03-17T10:06:25,"Crime, Visual Novel",61,"Adventure, RPG",21,15,90,9,6,8
150,apollo-justice-ace-attorney-2,14,4/12/2007,4.14,4,69,1,148,78,228,2020-01-16T11:32:03,"Crime, Visual Novel",70,"Adventure, Action",18,12,104,6,1,7
151,shovel-knight-specter-of-torment,5,3/3/2017,4.59,5,57,0,145,,432,2020-01-08T21:56:49,"Singleplayer, Для одного игрока",58,"Indie, Platformer",17,44,55,21,7,1
152,4-elements,6,7/12/2010,3.2,3,15,0,144,,334,2019-09-17T10:22:10,"Singleplayer, Для одного игрока",15,"Casual, Adventure",2,131,10,0,0,1
153,fire-emblem-fates-conquest,0,2/19/2016,3.74,4,60,1,142,87,612,2019-09-17T11:46:36,,61,"Strategy, RPG",23,21,65,10,17,6
154,super-castlevania-iv,2,10/31/1991,4.2,4,62,0,142,,515,2019-09-17T12:44:31,,64,"Platformer, Adventure",16,27,64,14,14,7
155,skylanders-giants,0,10/19/2012,3.5,4,18,0,140,,568,2019-09-17T10:40:13,,18,"Platformer, Arcade",2,106,21,0,11,0
156,angry-birds-trilogy,0,9/25/2012,3.52,3,23,0,140,,321,2019-09-17T10:17:52,,23,"Action, Puzzle",3,119,8,1,9,0
157,myst,0,9/24/1993,3.98,4,53,0,138,,465,2020-09-18T02:37:49,"Singleplayer, Classic",53,"Adventure, Puzzle",7,26,41,29,34,1
158,ice-climber,5,1/30/1985,3.84,4,68,2,137,,300,2019-09-17T13:21:16,"Singleplayer, Multiplayer",70,,7,37,42,1,48,2
159,super-mario-land-2-6-golden-coins,2,10/21/1992,4.34,4,60,2,136,,301,2019-09-17T13:36:18,,62,,11,30,71,11,11,2
160,fire-emblem-the-sacred-stones,11,10/7/2004,4.26,4,53,0,135,,234,2019-09-17T12:24:09,"Singleplayer, Multiplayer",53,,19,25,59,14,15,3
161,kid-icarus-uprising,0,3/23/2012,4.34,5,57,1,132,83,611,2020-06-30T01:29:48,"exclusive, true exclusive",59,"Adventure, Action",13,33,49,18,17,2
162,6180-the-moon,2,9/19/2014,3.05,3,18,1,131,,142,2019-09-17T10:33:39,"Singleplayer, Для одного игрока",19,"Indie, Action",0,115,10,1,5,0
163,dragon-quest-viii,0,11/27/2004,4.38,5,47,0,131,84,420,2020-05-19T13:50:28,"role-playing, combat",47,,22,18,46,24,14,7
164,ninja-gaiden,0,12/9/1988,4.06,4,61,2,126,,742,2020-04-03T14:08:45,"Ninja, Singleplayer",65,"Platformer, Action",10,31,44,11,28,2
165,quell-memento,5,5/29/2013,0,0,3,0,123,,277,2020-12-16T14:45:30,"Singleplayer, Steam Achievements",3,"Action, Puzzle",0,120,1,0,0,2
